@relation 'estado_cultivo-weka.filters.unsupervised.attribute.Remove-R1-3,16-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute CULTIVO {SAbila,'Aguacate demAs variedades','Banano consumo interno',Granadilla,Guayaba,'Gulupa o cholupa',Lulo,'Pina demAs variedades','PlAtano consumo interno','Otros cItricos','MaIz Tradicional','MaIz Tecnificado','Cebolla De Rama',Cilantro,Lechuga,PimentOn,Repollo,Tomate,Zanahoria,'Papa todas las variedades',Iraca,Fresa,Mora,'Tomate de Arbol',GuanAbana,Esparrago,'Tomate Invernadero',MaracuyA,'Papaya  demAs variedades','Otras hortalizas',Habichuela,'LimOn  Pajarito','Mango demAs variedades','Naranja demAs variedades',Ahuyama,Patilla,'Yuca consumo en fresco','Otros frutales','Cebolla De Bulbo','Pepino Cohombro',Remolacha,Mangostino,Chontaduro,Brevo,Feijoa,'Plantas AromAticas','Aguacate Hass','Aguacate Papelillo','LimOn  TahitI','Mandarina Arrayana y/o Oneco','Naranja Valencia','Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Albahaca,'Sacha inchi',Macadamia,Zapote,'Papa Criolla',Arracacha,Cacao,CafE,'Cana Panelera',Frijol,Fique,Arveja,'Cana de AzUcar','MaIz Amarillo Tradicional','MaIz Blanco Tradicional','MaIz Amarillo Tecnificado','MaIz Blanco Tecnificado','Palma de aceite'}
@attribute 'CICLO DE CULTIVO' {Permanente,Transitorio}
@attribute 'GRUPO CULTIVO' {'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Frutales,Cereales,Hortalizas,'RaIces y TubErculos','Cultivos Tropicales Tradicionales',Leguminosas,Oleaginosas}
@attribute SUBGRUPO {Medicinales,'Demas frutales',PasiflorAceas,MirtAceas,SolanAceas,CItricos,Cereales,'Hortalizas de Tallo','Hortalizas de Hoja','Hortalizas de Futo','Hortalizas de raIz','RaIces y TubErculos','Cultivos Tropicales Tradicionales',AnonAceas,Hortalizas,Leguminosas,ArAceas,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,Oleaginosas}
@attribute 'Area Sembrada(ha)' numeric
@attribute 'AREA COSECHADA(ha)' numeric
@attribute PRODUCCION(t) numeric
@attribute RENDIMIENTO(t/ha) numeric
@attribute 'NOMBRE CIENTIFICO CULTIVO' {'Aloe vera','Persea americana','Musa cavendishii','Passiflora ligularis.','Psidium guajava L.','Passiflora edulis Sims fo. Edulis','Solanum quitoense Lam','Ananas comosus L. Merr.','Musa paradisiaca L.','No aplica','Zea mays','Allium fistulosum','Coriandrum sativum','Lactuca sativa','Capsicum annuum L','Brassica oleracea var. capitata','Lycopersicon esculentum','Daucus carota','Solanum tuberosum','Carludovica palmata','Fragaria vesca','Morus ssp','Solanum betaceum','Annona muricata L.','Asparagus officinalis','Passiflora edulis','Carica papaya','Phaseolus vulgaris','Citrus limon L.','Mangifera indica L','Citrus sinensis L. OSBECK','Cucurbita maxima','Citrullus lanatus','Manihot esculenta','Allium cepa','Cucumis sativus','Beta vulgaris','Garcinia mangostana L.','Bactris gasipaes Kunth','Ficus carica L.','Feijoa sellowiana berg.','Persea americana hass','Persea americana mill','Citrus reticulata','Ocimun basilicum L.','Plukenetia volubilis','Macadamia integrifolia','Pouteria sapota','Arracacia xanthorrhiza','Theobrama cacao L.','Coffea arabica L.','Saccharum officinarum L.','Phaseolus sp.','Furcraea gigantea','Pisum sativum','Elaeis guineensis Jacq.'}
@attribute 'ESTADO FISICO DEL CULTIVO' {'En fresco','Grano seco','Pergamino o seco de trilla','Cana o verde',Otros}

@data
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',223,222,26640,120,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',31,30,1800,60,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,5,5,5,1,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,5,5,5,1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',78,50,38,0.76,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1453,1173,702,0.6,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2185,2185,109250,50,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,3,3,3,1,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2,2,2,1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',660,615,332.15,0.54,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',98,80,99,1.24,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',40,39,1770,45.38,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,91,91,122,1.34,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,99,99,157,1.59,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1550,1182,700,0.59,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',10,10,750,75,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,6,6,6,1,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,20,20,18,0.9,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',128,91,73,0.8,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',441,353,424,1.2,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2862.8,370.8,41158,111,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',141,102,7140,70,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,3,3,3,1,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,3,3,3,1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',81,57,28.5,0.5,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',4781.7,3268.13,4934.88,1.51,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',15,15,750,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,3.78,3.77,5.27,1.4,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,0.68,0.67,1,1.49,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,12.22,12.22,17.09,1.4,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,14.6,14.6,21.9,1.5,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',4021.23,3065.96,3127.28,1.02,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',505,505,30300,60,'Saccharum officinarum L.','Cana o verde'
Fique,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2,2,2,1,'Furcraea gigantea',Otros
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,20,20,41,2.05,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,7,7,19,2.71,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,6,6,5.1,0.85,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,9,9,19.3,2.14,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,5.3,5.3,11.13,2.1,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,4,4,7.2,1.8,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,6.2,6.2,5.58,0.9,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,9.8,9.8,24.5,2.5,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',408,408,375.36,0.92,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',5401.55,3910.38,3558.45,0.91,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',51,49,539,11,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',95,94,4700,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,6,6,30,5,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,19,14,70,5,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,10,3,12,4,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,4,3,15,5,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,16,8,16,2,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,8,5,25,5,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,15,13,20,1.54,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,7,5,2,0.4,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,5,4,4,1,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2,2,2,1,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1593.36,1283.76,1386.46,1.08,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',50,50,3500,70,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,31.75,31,24.8,0.8,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,8.25,8,6.4,0.8,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,20,19.5,9.75,0.5,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,200,198,415.8,2.1,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,21.97,21.97,15.38,0.7,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,18,18,12.6,0.7,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,19.5,19,19,1,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,200,195,390,2,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',708.5,708.5,708.5,1,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2600.69,1810.62,1973.58,1.09,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',213,13,1418.04,109.08,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',41.5,41.5,2921.6,70.4,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,30,25,16,0.64,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,5,4,3,0.75,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,10,10,50,5,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,14,13,39,3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,12,10,10,1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',31,31,15.5,0.5,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3769.41,2571.07,2802.47,1.09,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',66,66,2970,45,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,2,2,2.6,1.3,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1,1,1.3,1.3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2.5,2.5,3,1.2,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,1,1,1.3,1.3,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,0.5,0.5,0.65,1.3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,1,1,1.2,1.2,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1946.91,1497.52,1901.85,1.27,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1637,1637,81850,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,55,52.5,51.39,0.98,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,40,38.5,69.3,1.8,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,50,48,46.98,0.98,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,30,29.5,53.1,1.8,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,4.2,4,4.47,1.12,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1.9,1.5,1.68,1.12,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,5,5,4.19,0.84,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,3,3,2.52,0.84,'Zea mays','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',21,16,11.2,0.7,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',910.5,666.81,700.15,1.05,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',107,107,4815,45,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,11,11,50,4.55,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,17,17,51,3,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,23,18,27,1.5,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,6,6,6.71,1.12,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,6,6,8.39,1.4,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,27,27,31.05,1.15,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3200.56,2599.16,2833.08,1.09,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',669,669,33450,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,7,7,9,1.29,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,8.55,8.5,14.7,1.73,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,5,5,9,1.8,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,9,9,14.7,1.63,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',397.84,334.24,334.24,1,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',84,70,3500,50,'Saccharum officinarum L.','Cana o verde'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',131,131,78.6,0.6,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2756.04,2295.04,2501.59,1.09,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',157,145,2378,16.4,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,1.98,1.98,1.09,0.55,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,0.52,0.52,2.08,4,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,0.3,0.3,0.27,0.9,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,1.7,1.7,0.68,0.4,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1.4,1.4,0.42,0.3,'Zea mays','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',179.92,135.6,123.4,0.91,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',21,21,1780.8,84.8,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,6,6,6.9,1.15,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1.65,1.65,1.6,0.97,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,17,9,18,2,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,4.4,4.4,4,0.91,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,3.61,3.61,4,1.11,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,5,5,9.3,1.86,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,17,9,18,2,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',60,60,25.8,0.43,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2579.65,1839,2464.26,1.34,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',462,462,27720,60,'Saccharum officinarum L.','Cana o verde'
Arveja,Transitorio,Leguminosas,Leguminosas,8,8,13.7,1.71,'Pisum sativum',Otros
Arveja,Transitorio,Leguminosas,Leguminosas,4,4,13,3.25,'Pisum sativum',Otros
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',619,32,20.16,0.63,'Theobrama cacao L.','Grano seco'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',6,3.8,329.84,86.8,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,1.59,1.59,3,1.89,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,0.41,0.41,1,2.44,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,1.65,1.65,3,1.82,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1.35,1.35,3,2.22,'Zea mays','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3198.95,2267.93,1859.7,0.82,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',200,200,10000,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,79,79,151,1.91,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,21,21,32.11,1.53,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,100,100,120,1.2,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,54.92,54,135,2.5,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,45.08,45,63,1.4,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,100,100,120,1.2,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',94,40,36,0.9,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2642.39,1638.46,1867.84,1.14,'Coffea arabica L.','Pergamino o seco de trilla'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,15,15,5.87,0.39,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,20,20,8.39,0.42,'Zea mays','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',46,44,22,0.5,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3636.17,3152.58,3058,0.97,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',301,301,15050,50,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,2.38,2.38,2.38,1,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,0.62,0.62,0.62,1,'Zea mays','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,1,1,1,1,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,1,1,1.4,1.4,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,1,1,1,1,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,1,1,1,1,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,1,1,1.74,1.74,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',151,151,105.7,0.7,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2832.14,2275.27,2593.81,1.14,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1300,1300,67600,52,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,12,6,7.2,1.2,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,7.5,7.5,6,0.8,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,7.5,7.5,6,0.8,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,20,17,17,1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',97,80,40,0.5,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2649.94,1818.71,1982.39,1.09,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',72,30,2727,90.9,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',96,76,2508,33,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,18,18,27,1.5,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,16,16,20.8,1.3,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,7,7,10.5,1.5,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,4,4,4.8,1.2,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,35,33,42.9,1.3,'Phaseolus sp.','Grano seco'
'MaIz Amarillo Tecnificado',Transitorio,Cereales,Cereales,12,12,18,1.5,'Zea mays','Grano seco'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,10,10,10,1,'Zea mays','Grano seco'
'MaIz Blanco Tecnificado',Transitorio,Cereales,Cereales,6,6,9,1.5,'Zea mays','Grano seco'
'MaIz Blanco Tradicional',Transitorio,Cereales,Cereales,3,3,3,1,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,17,15,19.5,1.3,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2192.33,1716.97,1716.97,1,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',601,601,36060,60,'Saccharum officinarum L.','Cana o verde'
'MaIz Amarillo Tradicional',Transitorio,Cereales,Cereales,3.3,3.1,4.65,1.5,'Zea mays','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,7,6.8,6.8,1,'Phaseolus sp.','Grano seco'
